podloga,rezultat,broj_asova,duple_servis_greske,broj_servis_poena ,ubacenih_prvih_servisa,osvojenih_prvih_servisa,osvojenih_drugih_servisa,broj_servis_gemova,sacuvanih_brejk_lopti,suocenih_brejk_lopti,nivo_takmicenja,best_of,pobedio,sacuvanih_br_lopti_modified
Hard,6-7(2) 6-3 6-2,0.165,0.033,91,0.527,0.813,0.558,5,0.6,5,R128,3,1,0.6
Hard,4-6 6-1 6-4,0.068,0.068,74,0.662,0.735,0.56,4.667,0.25,4,R128,3,1,0.25
Hard,7-5 3-6 7-6(5),0.186,0.076,118,0.534,0.81,0.4,5.333,0.786,14,R128,3,1,0.786
Hard,6-1 6-3,0.025,0,40,0.625,0.8,0.867,4,0,0,R64,3,1,1
Hard,6-7(8) 6-0 6-3,0.186,0.02,102,0.716,0.726,0.448,4.667,0.833,6,R64,3,1,0.833
Hard,6-4 6-1,0.055,0.055,55,0.655,0.75,0.632,4.5,1,5,R64,3,1,1
Hard,6-4 6-4,0.077,0.058,52,0.5,0.885,0.692,5,0,0,R64,3,1,1
Hard,6-4 7-6(1),0.246,0.035,57,0.561,0.938,0.72,5.5,0,0,R64,3,1,1
Hard,6-2 7-5,0.039,0.059,51,0.431,0.818,0.517,5,0,3,R64,3,1,1
Hard,6-7(5) 7-5 6-3,0.086,0.032,93,0.495,0.913,0.66,5.667,0,0,R64,3,1,1
Hard,7-5 3-6 7-6(2),0.074,0.032,95,0.579,0.818,0.4,5.333,0.2,5,R64,3,1,0.2
Hard,6-0 3-6 6-3,0.096,0.036,83,0.59,0.816,0.441,4,0.667,6,R64,3,1,0.667
Hard,6-2 7-6(5),0.068,0.017,59,0.627,0.784,0.818,5,1,3,R64,3,1,1
Hard,6-4 6-2,0.036,0.018,55,0.564,0.677,0.667,4.5,0.833,6,R64,3,1,0.833
Hard,6-1 6-7(3) 6-3,0.078,0.019,103,0.534,0.8,0.563,5,0.833,6,R64,3,1,0.833
Hard,6-7(5) 6-3 6-4,0.182,0.011,88,0.705,0.806,0.538,5.333,0,2,R64,3,1,1
Hard,6-4 6-4,0.26,0,50,0.58,0.931,0.619,5,0,0,R64,3,1,1
Hard,7-6(5) 3-6 6-3,0.01,0.02,100,0.6,0.633,0.5,5,0.556,9,R64,3,1,0.556
Hard,7-6(5) 6-1,0.18,0,50,0.62,0.871,0.579,4.5,0.667,3,R64,3,1,0.667
Hard,6-4 7-6(4),0.115,0,52,0.75,0.949,0.923,5.5,0,0,R64,3,1,1
Hard,7-6(4) 6-7(3) 6-2,0.148,0.028,108,0.565,0.787,0.532,5.333,0.714,7,R64,3,1,0.714
Hard,6-4 6-3,0.186,0.023,43,0.767,0.909,0.7,4.5,0,0,R64,3,1,1
Hard,7-6(7) 6-4,0.113,0,62,0.661,0.732,0.714,5.5,0,2,R64,3,1,1
Hard,6-1 6-7(5) 6-3,0.146,0.037,82,0.585,0.958,0.588,5,1,2,R64,3,1,1
Hard,6-4 6-1,0.102,0.034,59,0.627,0.676,0.455,4,0.6,5,R64,3,1,0.6
Hard,7-6(8) 4-6 6-4,0.053,0.053,113,0.425,0.583,0.508,5.333,0.625,16,R64,3,1,0.625
Hard,6-4 6-0,0.03,0.03,66,0.636,0.762,0.542,4,1,6,R64,3,1,1
Hard,3-6 6-0 6-1,0.072,0.043,69,0.667,0.696,0.565,3.667,0.818,11,R64,3,1,0.818
Hard,6-2 7-6(3),0.164,0.027,73,0.507,0.838,0.556,5,1,4,R64,3,1,1
Hard,3-6 7-6(1) 7-6(5),0.071,0.054,112,0.5,0.768,0.625,5.667,0.625,8,R64,3,1,0.625
Hard,6-2 6-4,0.085,0.085,47,0.553,0.846,0.714,4.5,0,0,R64,3,1,1
Hard,6-4 7-6(8),0.1,0.014,70,0.557,0.718,0.581,5.5,0,2,R64,3,1,1
Hard,6-4 4-6 7-5,0.073,0.052,96,0.573,0.782,0.512,5.333,0.5,4,R64,3,1,0.5
Hard,6-3 6-2,0.1,0,50,0.82,0.756,0.556,4,1,2,R64,3,1,1
Hard,6-4 6-3,0.123,0.031,65,0.677,0.705,0.524,5,0.667,3,R64,3,1,0.667
Hard,6-1 6-0,0.086,0,35,0.771,0.704,0.875,3,1,3,R32,3,1,1
Hard,4-6 6-3 6-3,0.073,0.049,82,0.549,0.778,0.514,4.667,0.5,4,R32,3,1,0.5
Hard,6-1 6-2,0.27,0,37,0.595,0.909,0.8,4,0,0,R32,3,1,1
Hard,6-3 7-5,0.099,0.056,71,0.549,0.769,0.594,5.5,0.8,5,R32,3,1,0.8
Hard,7-5 6-4,0.095,0.032,63,0.54,0.765,0.586,5.5,0.667,3,R32,3,1,0.667
Hard,3-6 6-0 7-6(5),0.071,0.06,84,0.512,0.814,0.488,4.333,0.25,4,R32,3,1,0.25
Hard,7-5 6-3,0.279,0.016,61,0.705,0.791,0.611,5.5,1,2,R32,3,1,1
Hard,6-2 6-4,0.08,0.02,50,0.52,0.615,0.708,4.5,0.6,5,R32,3,1,0.6
Hard,6-3 6-3,0.14,0.023,43,0.605,0.846,0.824,4.5,0,0,R32,3,1,1
Hard,6-3 6-4,0.091,0,66,0.667,0.727,0.636,5,1,5,R32,3,1,1
Hard,7-6(1) 7-5,0.122,0,74,0.595,0.864,0.533,6,1,1,R32,3,1,1
Hard,6-3 6-2,0.021,0.042,48,0.5,0.75,0.708,4.5,0,1,R32,3,1,1
Hard,6-4 6-1,0.021,0.063,48,0.479,0.783,0.6,4,0.75,4,R32,3,1,0.75
Hard,4-6 7-6(6) 7-5,0.139,0.043,115,0.574,0.773,0.51,5.667,0.833,6,R32,3,1,0.833
Hard,6-3 6-4,0.127,0.048,63,0.571,0.694,0.556,5,0.75,8,R32,3,1,0.75
Hard,6-2 6-2,0.086,0.029,35,0.657,0.957,0.833,4,0,0,R16,3,1,1
Hard,6-3 6-4,0.224,0.045,67,0.612,0.854,0.538,5,1,8,R16,3,1,1
Hard,6-4 3-6 6-1,0.074,0.029,68,0.441,0.8,0.605,4.333,0.5,4,R16,3,1,0.5
Hard,6-3 7-5,0.119,0.051,59,0.576,0.882,0.6,5.5,1,2,R16,3,1,1
Hard,6-1 6-2,0.162,0,37,0.676,0.88,0.583,3.5,1,1,R16,3,1,1
Hard,7-6(7) 2-6 7-6(9),0.035,0.026,114,0.561,0.672,0.4,5.333,0.5,14,R16,3,1,0.5
Hard,6-4 6-1,0.053,0.026,38,0.711,0.889,0.727,4,0,0,R16,3,1,1
Hard,6-3 7-5,0.083,0.033,60,0.65,0.821,0.667,5.5,1,1,R16,3,1,1
Hard,4-6 6-2 6-4,0.024,0.024,84,0.75,0.746,0.571,4.667,0.667,3,QF,3,1,0.667
Hard,6-4 7-6(3),0.172,0.031,64,0.688,0.818,0.5,5.5,0.333,3,QF,3,1,0.333
Hard,3-6 7-5 6-4,0.056,0.046,108,0.657,0.648,0.486,5,0.556,9,QF,3,1,0.556
Hard,7-5 6-3,0.106,0.045,66,0.727,0.729,0.556,5.5,0.5,2,QF,3,1,0.5
Hard,6-3 6-3,0.102,0,49,0.714,0.857,0.571,4.5,1,1,F,3,1,1
Hard,6-3 7-5,0.072,0.029,69,0.522,0.722,0.485,5.5,0.6,5,R64,3,1,0.6
Hard,6-3 5-7 6-4,0.111,0.056,90,0.544,0.816,0.585,5.333,0.857,7,R64,3,1,0.857
Hard,7-6(3) 6-1,0.161,0.016,62,0.548,0.941,0.643,5,1,3,R64,3,1,1
Hard,7-5 7-5,0.055,0.027,73,0.507,0.73,0.639,6,0.667,3,R64,3,1,0.667
Hard,3-6 7-6(5) 7-6(6),0.326,0.022,92,0.652,0.917,0.594,5.333,0.667,3,R64,3,1,0.667
Hard,7-6(3) 7-5,0.162,0.059,68,0.559,0.842,0.6,6,0.5,2,R64,3,1,0.5
Hard,6-7(3) 6-4 6-2,0.16,0.062,81,0.58,0.83,0.5,5,0.571,7,R64,3,1,0.571
Hard,4-6 6-2 6-3,0.148,0.011,88,0.705,0.694,0.692,4.667,0.8,5,R64,3,1,0.8
Hard,6-4 6-3,0.045,0.119,67,0.433,0.759,0.526,4.5,0.75,4,R64,3,1,0.75
Hard,6-3 7-6(3),0.051,0.038,78,0.628,0.816,0.517,5.5,1,3,R64,3,1,1
Hard,3-6 6-4 6-0,0.11,0.012,82,0.524,0.767,0.41,4.333,0.429,7,R64,3,1,0.429
Hard,5-7 6-0 6-3,0.036,0.036,84,0.56,0.723,0.595,4.667,0.5,4,R64,3,1,0.5
Hard,6-1 6-3,0.122,0.02,49,0.633,0.839,0.5,4,1,3,R64,3,1,1
Hard,6-1 6-2,0.067,0.044,45,0.711,0.813,0.538,4,1,1,R64,3,1,1
Hard,6-3 6-4,0.291,0.036,55,0.673,0.838,0.667,5,0,0,R64,3,1,1
Hard,7-6(7) 6-3,0.181,0,72,0.583,0.738,0.667,5.5,0.875,8,R64,3,1,0.875
Hard,6-3 6-2,0.073,0.055,55,0.509,0.857,0.593,4.5,1,2,R64,3,1,1
Hard,7-6(6) 7-5,0,0.052,77,0.506,0.769,0.447,6,0.429,7,R64,3,1,0.429
Hard,6-3 6-3,0.017,0.034,58,0.724,0.762,0.563,4.5,1,3,R64,3,1,1
Hard,6-3 6-3,0.078,0.02,51,0.647,0.788,0.556,4.5,0.5,2,R64,3,1,0.5
