podloga,rezultat,broj_asova,duple_servis_greske,broj_servis_poena ,ubacenih_prvih_servisa,osvojenih_prvih_servisa,osvojenih_drugih_servisa,broj_servis_gemova,sacuvanih_brejk_lopti,suocenih_brejk_lopti,nivo_takmicenja,best_of,pobedio,sacuvanih_br_lopti_modified
Hard,7-5 6-3,0.193,0.035,28.5,0.649,0.526,0.211,5.5,0,0.5,R32,3,1,1
Hard,3-6 6-0 7-5,0.054,0.032,31,0.473,0.29,0.269,4.667,0.643,4.667,R32,3,1,0.643
Hard,5-7 7-6(4) 7-6(5),0.078,0.023,42.667,0.625,0.508,0.172,6,0.571,2.333,R32,3,1,0.571
Hard,6-4 4-6 6-1,0.084,0.012,27.667,0.627,0.458,0.205,4.667,0.667,2,R32,3,1,0.667
Hard,6-4 6-4,0.015,0.015,33.5,0.552,0.388,0.254,5,0.667,3,R32,3,1,0.667
Hard,6-4 6-4,0.076,0.045,33,0.636,0.47,0.182,5,0.875,4,R32,3,1,0.875
Hard,6-2 6-3,0.13,0.056,27,0.519,0.407,0.315,4.5,1,2,R32,3,1,1
Hard,6-4 3-6 6-1,0.12,0.043,30.667,0.5,0.424,0.228,4.333,0.923,4.333,R32,3,1,0.923
Hard,7-5 6-1,0.087,0.014,34.5,0.594,0.435,0.217,5,0.8,2.5,R32,3,1,0.8
Hard,6-7(3) 6-3 6-3,0.136,0.034,29.333,0.568,0.455,0.25,5,0.5,0.667,R32,3,1,0.5
Hard,6-4 6-1,0.091,0.068,22,0.523,0.386,0.227,4,0.6,2.5,R32,3,1,0.6
Hard,7-5 5-7 6-4,0.113,0.026,38.333,0.487,0.409,0.209,5.667,0.667,3,R32,3,1,0.667
Hard,7-6(5) 6-4,0.092,0,32.5,0.569,0.415,0.292,5.5,0.5,1,R32,3,1,0.5
Hard,2-6 6-1 6-2,0.072,0.048,27.667,0.482,0.349,0.265,4,0.8,3.333,R32,3,1,0.8
Hard,6-3 2-6 6-4,0.076,0.011,30.667,0.522,0.38,0.25,4.667,0.625,2.667,R16,3,1,0.625
Hard,2-6 6-4 6-3,0.11,0.04,33.333,0.71,0.51,0.11,4.667,0.8,3.333,R16,3,1,0.8
Hard,6-4 6-2,0.07,0.035,28.5,0.737,0.509,0.123,4.5,0.714,3.5,R16,3,1,0.714
Hard,7-6(3) 7-6(5),0.2,0.059,42.5,0.6,0.529,0.2,6,1,3.5,R16,3,1,1
