podloga,rezultat,broj_asova,duple_servis_greske,broj_servis_poena ,ubacenih_prvih_servisa,osvojenih_prvih_servisa,osvojenih_drugih_servisa,broj_servis_gemova,sacuvanih_brejk_lopti,suocenih_brejk_lopti,nivo_takmicenja,best_of,pobedio,sacuvanih_br_lopti_modified
Hard,6-3 2-6 7-5,0.06,0.108,27.667,0.494,0.41,0.217,5,0.429,2.333,R16,3,1,0.429
Hard,6-4 6-2,0.178,0,22.5,0.6,0.511,0.311,4.5,0,0,R16,3,1,1
Hard,6-3 6-3,0.089,0.036,28,0.589,0.446,0.304,4.5,1,2.5,R16,3,1,1
Hard,7-6(3) 6-3,0.135,0.019,26,0.692,0.635,0.192,5,0,0,R16,3,1,1
Hard,6-3 6-4,0.148,0.016,30.5,0.525,0.426,0.295,5,1,1,QF,3,1,1
Hard,6-3 6-4,0.101,0.063,39.5,0.481,0.405,0.215,5,0.875,4,QF,3,1,0.875
Hard,3-6 6-4 6-1,0.13,0.13,25.667,0.442,0.403,0.247,4.333,0.5,1.333,QF,3,1,0.5
Hard,3-6 7-5 6-3,0.051,0.013,26.333,0.557,0.418,0.329,5,0.667,1,QF,3,1,0.667
Hard,6-4 7-6(5),0.125,0,32,0.531,0.406,0.328,5.5,0.333,1.5,SF,3,1,0.333
Hard,1-6 6-4 6-2,0.125,0.057,29.333,0.58,0.42,0.193,4,0.778,3,SF,3,1,0.778
Hard,6-2 6-4,0.069,0.017,29,0.534,0.345,0.328,4.5,0.75,2,F,3,1,0.75
Hard,7-6(9) 6-7(5) 6-4,0.066,0.066,35.333,0.632,0.462,0.208,5.667,0.5,2,R32,3,1,0.5
Hard,3-6 7-6(6) 6-4,0.169,0.045,29.667,0.551,0.506,0.202,5,0,0.333,R32,3,1,1
Hard,7-5 6-3,0.219,0.016,32,0.641,0.547,0.156,5.5,0.667,3,R32,3,1,0.667
Hard,7-6(2) 6-1,0.106,0.045,33,0.576,0.47,0.258,5,1,0.5,R32,3,1,1
Hard,7-6(2) 6-3,0.074,0.015,34,0.603,0.441,0.25,5,0.8,2.5,R32,3,1,0.8
Hard,6-3 6-7(2) 6-1,0.162,0.01,33,0.657,0.505,0.172,5,0.8,3.333,R32,3,1,0.8
Hard,6-3 6-7(1) 6-3,0.103,0.056,35.667,0.607,0.495,0.168,5.333,0.833,2,R32,3,1,0.833
Hard,6-4 6-4,0.022,0.022,23,0.761,0.63,0.196,5,0,0.5,R32,3,1,1
Hard,6-7(4) 6-2 6-2,0.057,0.057,29.333,0.591,0.489,0.227,4.667,1,1.333,R32,3,1,1
Hard,7-5 4-6 7-5,0.084,0.137,31.667,0.589,0.484,0.232,5.667,0.75,2.667,R32,3,1,0.75
Hard,3-6 6-3 7-5,0.112,0.034,29.667,0.64,0.528,0.169,5,0.875,2.667,R32,3,1,0.875
Hard,7-6(4) 6-4,0.031,0.031,32,0.453,0.328,0.391,5.5,0.5,1,R32,3,1,0.5
Hard,6-3 6-4,0.117,0.017,30,0.55,0.417,0.217,5,0.5,2,R16,3,1,0.5
Hard,6-2 6-4,0.256,0,21.5,0.651,0.605,0.233,4.5,0,0,R16,3,1,1
Hard,7-6(7) 6-3,0.203,0.068,37,0.608,0.459,0.189,5.5,0.667,3,R16,3,1,0.667
Hard,7-5 6-3,0.226,0.032,31,0.629,0.548,0.194,5.5,0.667,1.5,R16,3,1,0.667
Hard,7-6(5) 6-7(5) 6-4,0.093,0.028,35.667,0.589,0.505,0.215,5.667,0.5,1.333,R16,3,1,0.5
Hard,6-2 6-4,0.033,0.05,30,0.65,0.45,0.2,4.5,0.667,1.5,R16,3,1,0.667
Hard,6-3 7-6(2),0.066,0.066,30.5,0.656,0.557,0.197,5.5,0.5,1,R16,3,1,0.5
Hard,7-5 6-4,0.111,0.032,31.5,0.556,0.476,0.27,5.5,1,1,QF,3,1,1
Hard,7-6(5) 4-6 6-3,0.088,0.026,38,0.535,0.412,0.237,5.333,0.625,2.667,QF,3,1,0.625
Hard,7-5 7-6(5),0.072,0.045,55.5,0.64,0.396,0.18,6,0.813,8,QF,3,1,0.813
Hard,2-6 6-3 7-6(4),0.039,0.039,34.333,0.621,0.388,0.194,5,0.545,3.667,QF,3,1,0.545
Hard,6-4 6-2,0.186,0.017,29.5,0.542,0.39,0.288,4.5,0.8,2.5,SF,3,1,0.8
Hard,7-6(1) 6-2,0.167,0.019,27,0.574,0.519,0.241,5,0,0.5,F,3,1,1
Clay,2-6 6-3 6-3,0.075,0.05,26.667,0.625,0.475,0.175,4.333,0.625,2.667,R32,3,1,0.625
Clay,1-6 6-2 7-5,0.051,0.038,26,0.59,0.385,0.192,4.333,0.556,3,R32,3,1,0.556
Clay,6-3 6-2,0.033,0.016,30.5,0.574,0.41,0.279,4.5,1,2.5,R32,3,1,1
Clay,6-3 6-3,0,0,28.5,0.526,0.386,0.298,4.5,0.75,2,R32,3,1,0.75
Clay,6-3 6-4,0.052,0.052,38.5,0.584,0.442,0.195,5,0.889,4.5,R32,3,1,0.889
Clay,7-6(3) 6-7(8) 6-1,0.028,0.019,35.333,0.594,0.481,0.226,5,0.833,2,R32,3,1,0.833
Clay,6-4 6-4,0.015,0.062,32.5,0.631,0.385,0.215,5,0.667,3,R32,3,1,0.667
Clay,6-3 6-0,0,0,18.5,0.568,0.405,0.351,3.5,0,0,R32,3,1,1
Clay,6-2 6-1,0.058,0.058,26,0.635,0.481,0.173,3.5,0.889,4.5,R32,3,1,0.889
Clay,6-3 6-3,0.017,0.052,29,0.517,0.379,0.259,4.5,0.8,2.5,R32,3,1,0.8
Clay,6-4 6-3,0.161,0.032,31,0.581,0.419,0.258,5,0.857,3.5,R32,3,1,0.857
Clay,7-6(0) 2-6 6-3,0.026,0.061,38,0.693,0.482,0.096,5,0.6,3.333,R32,3,1,0.6
Clay,6-3 6-0,0.189,0,18.5,0.811,0.622,0.162,3.5,1,0.5,R16,3,1,1
Clay,6-2 7-5,0.075,0,26.5,0.736,0.491,0.208,5,0.6,2.5,R16,3,1,0.6
Clay,6-4 6-4,0.108,0.077,32.5,0.554,0.492,0.169,5,0.6,2.5,R16,3,1,0.6
Clay,6-3 7-5,0.019,0,27,0.63,0.481,0.241,5.5,0,1,R16,3,1,1
Clay,6-2 6-2,0.061,0.02,24.5,0.51,0.347,0.265,4,0.333,1.5,R16,3,1,0.333
Clay,6-4 6-4,0.037,0.019,27,0.667,0.537,0.185,5,0.8,2.5,R16,3,1,0.8
Clay,6-1 6-2,0.186,0.023,21.5,0.605,0.535,0.233,4,0,0,R16,3,1,1
Clay,4-6 7-6(5) 6-4,0.079,0.067,29.667,0.573,0.449,0.258,5.333,0.25,1.333,QF,3,1,0.25
Clay,6-2 3-6 7-6(6),0.022,0.033,30,0.467,0.356,0.322,4.667,0.6,1.667,QF,3,1,0.6
Clay,6-3 6-3,0.016,0.016,32,0.688,0.438,0.234,4.5,1,2,QF,3,1,1
Clay,1-6 6-3 6-1,0.045,0.03,22.333,0.731,0.478,0.164,3.667,0.667,2,SF,3,1,0.667
Clay,4-6 6-2 6-3,0.034,0.046,29,0.563,0.414,0.253,4.333,0.857,2.333,SF,3,1,0.857
Clay,6-4 6-1,0.028,0,18,0.75,0.583,0.222,4,0,0.5,F,3,1,1
Hard,7-6(5) 7-6(6),0.099,0.025,40.5,0.531,0.407,0.222,6,0.25,2,R64,3,1,0.25
Hard,4-6 6-3 6-4,0.08,0.054,37.333,0.589,0.42,0.232,5,0.889,3,R64,3,1,0.889
Hard,5-7 6-3 6-4,0.043,0.07,38.333,0.53,0.339,0.243,5.333,0.583,4,R64,3,1,0.583
Hard,6-4 6-7(3) 6-3,0.318,0.055,36.667,0.718,0.582,0.109,5.333,1,3.333,R64,3,1,1
Hard,7-6(5) 3-6 7-6(4),0.122,0.076,43.667,0.55,0.42,0.191,5.667,0.75,4,R64,3,1,0.75
Hard,7-5 3-6 7-6(5),0.038,0.028,35.333,0.557,0.425,0.226,5.333,0.75,2.667,R64,3,1,0.75
Hard,6-4 6-3,0.096,0.038,26,0.673,0.558,0.192,5,0.5,1,R64,3,1,0.5
Hard,7-5 6-7(2) 6-2,0.073,0.064,36.333,0.523,0.431,0.22,5.333,0.714,2.333,R64,3,1,0.714
Hard,6-4 7-5,0.115,0.098,30.5,0.59,0.541,0.197,5.5,1,0.5,R64,3,1,1
Hard,6-3 7-6(3),0.214,0.018,28,0.554,0.518,0.304,5,0,0,R64,3,1,1
Hard,3-6 6-3 6-1,0.069,0.042,24,0.556,0.389,0.264,4,0.333,1,R64,3,1,0.333
Hard,7-6(5) 6-2,0.091,0.065,38.5,0.571,0.403,0.234,5,0.833,3,R64,3,1,0.833
Hard,6-2 6-7(5) 6-2,0.039,0,25.667,0.623,0.519,0.26,4.667,0,0,R64,3,1,1
Hard,4-6 6-2 6-3,0.037,0.074,27,0.506,0.432,0.247,4.667,0.8,1.667,R64,3,1,0.8
Hard,6-2 6-1,0.089,0.022,22.5,0.444,0.356,0.378,4,1,1,R64,3,1,1
Hard,6-2 3-6 6-3,0.167,0,22,0.47,0.394,0.379,4.333,0.5,0.667,R64,3,1,0.5
Hard,6-4 6-3,0.2,0.018,27.5,0.582,0.455,0.255,5,0.5,1,R64,3,1,0.5
Hard,6-2 6-2,0.188,0,24,0.542,0.396,0.333,4,1,1.5,R64,3,1,1
Hard,6-4 6-2,0.143,0.061,24.5,0.571,0.49,0.286,4.5,1,1.5,R64,3,1,1
Hard,6-3 6-3,0.045,0.061,33,0.485,0.379,0.242,4.5,0.875,4,R64,3,1,0.875
Hard,7-6(4) 6-4,0.188,0.031,32,0.547,0.469,0.313,5.5,1,0.5,R64,3,1,1
Hard,7-6(5) 3-6 6-1,0.22,0.033,30.333,0.615,0.516,0.198,4.667,0.833,2,R64,3,1,0.833
Hard,6-1 6-2,0.02,0.16,25,0.52,0.4,0.28,4,1,0.5,R64,3,1,1
Hard,6-3 6-4,0.07,0.035,28.5,0.526,0.421,0.316,5,1,0.5,R64,3,1,1
Hard,7-5 6-2,0.016,0.016,31,0.694,0.435,0.161,5,0.6,2.5,R32,3,1,0.6
Hard,6-4 7-6(4),0,0.013,39,0.679,0.538,0.154,5.5,0.857,3.5,R32,3,1,0.857
Hard,6-3 7-6(2),0.233,0.05,30,0.667,0.583,0.217,5.5,1,1.5,R32,3,1,1
Hard,3-6 7-6(3) 6-3,0.168,0.042,31.667,0.547,0.453,0.253,5.333,0,0.667,R32,3,1,1
Hard,6-4 6-1,0.122,0.02,24.5,0.49,0.429,0.286,4,1,1.5,R32,3,1,1
Hard,6-4 7-6(4),0.08,0.027,37.5,0.68,0.52,0.2,5.5,0.833,3,R32,3,1,0.833
Hard,6-1 5-7 6-3,0.056,0,23.667,0.563,0.451,0.324,4.667,0.8,1.667,R32,3,1,0.8
Hard,6-2 6-3,0.068,0.034,29.5,0.542,0.441,0.22,4.5,0.857,3.5,R32,3,1,0.857
Hard,6-4 6-2,0.113,0.038,26.5,0.547,0.434,0.245,4.5,0,0.5,R32,3,1,1
Hard,7-6(5) 6-2,0.045,0.03,33.5,0.552,0.448,0.254,5,1,0.5,R32,3,1,1
Hard,7-6(4) 7-6(5),0.123,0.025,40.5,0.605,0.506,0.222,6,0.75,2,R32,3,1,0.75
Hard,6-4 7-6(1),0.109,0.047,32,0.703,0.484,0.125,5.5,0.2,2.5,R32,3,1,0.2
Hard,6-3 6-4,0.041,0.054,37,0.662,0.5,0.189,5,1,4.5,R32,3,1,1
Hard,7-6(6) 6-2,0.218,0.051,39,0.474,0.397,0.282,5,1,3,R32,3,1,1
Hard,6-3 7-6(7),0.254,0.06,33.5,0.552,0.493,0.224,5.5,0,0.5,R32,3,1,1
Hard,6-4 6-4,0.122,0.041,24.5,0.429,0.408,0.408,5,0,0,R32,3,1,1
Hard,6-4 2-6 6-3,0.039,0.091,25.667,0.636,0.416,0.169,4.667,0.167,2,R16,3,1,0.167
Hard,6-7(2) 7-6(5) 7-6(5),0.061,0.023,44,0.591,0.47,0.258,6,1,1,R16,3,1,1
Hard,6-3 3-6 6-4,0.126,0.046,29,0.586,0.414,0.218,4.667,0.571,2.333,R16,3,1,0.571
Hard,6-0 6-1,0.154,0.026,19.5,0.538,0.487,0.308,3.5,1,0.5,R16,3,1,1
Hard,7-5 6-3,0.031,0.02,49,0.684,0.48,0.133,5.5,0.857,3.5,R16,3,1,0.857
Hard,4-6 7-6(3) 7-5,0.026,0.052,38.333,0.574,0.409,0.183,5.667,0.615,4.333,R16,3,1,0.615
Hard,5-7 6-4 7-6(3),0.141,0.04,33,0.535,0.394,0.283,5.667,0.727,3.667,R16,3,1,0.727
Hard,6-1 6-1,0.111,0.056,18,0.611,0.528,0.25,3.5,0,0,R16,3,1,1
Hard,6-4 6-1,0.022,0.044,22.5,0.689,0.511,0.222,4,0,0,QF,3,1,1
Hard,6-4 6-2,0.114,0,22,0.545,0.5,0.318,4.5,0,0,QF,3,1,1
Hard,4-6 6-1 6-4,0.1,0.025,26.667,0.675,0.488,0.163,4.667,0.6,1.667,QF,3,1,0.6
Hard,6-3 6-4,0.151,0,26.5,0.698,0.585,0.189,5,1,1.5,QF,3,1,1
Hard,4-6 7-6(5) 6-2,0.078,0.058,34.333,0.602,0.388,0.233,5,0.625,2.667,SF,3,1,0.625
Hard,6-4 7-6(6),0.063,0.031,32,0.547,0.422,0.359,5.5,0,0,SF,3,1,1
Hard,7-6(1) 6-3,0.115,0.033,30.5,0.574,0.475,0.311,5.5,0,0,F,3,1,1
Hard,7-6(8) 6-2,0.063,0.032,31.5,0.619,0.381,0.206,5,0.2,2.5,R64,3,1,0.2
Hard,6-3 6-3,0.125,0.016,32,0.5,0.391,0.281,4.5,1,1.5,R64,3,1,1
Hard,6-4 7-6(3),0.129,0.057,35,0.6,0.486,0.171,5.5,0,0.5,R64,3,1,1
Hard,7-6(4) 6-2,0.105,0,28.5,0.667,0.579,0.193,5,0,0,R64,3,1,1
Hard,6-3 6-4,0.167,0.033,30,0.65,0.533,0.183,5,1,1.5,R64,3,1,1
Hard,6-3 7-6(3),0.082,0.016,30.5,0.77,0.623,0.18,5.5,0,0,R64,3,1,1
Hard,4-6 6-1 7-6(2),0.133,0.01,35,0.571,0.457,0.171,5,0.714,4.667,R64,3,1,0.714
Hard,6-4 6-2,0.094,0.057,26.5,0.566,0.509,0.226,4.5,1,1,R64,3,1,1
Hard,6-1 6-2,0.476,0.048,21,0.857,0.714,0.071,4,1,0.5,R64,3,1,1
Hard,6-3 4-6 6-0,0.013,0.05,26.667,0.575,0.388,0.238,4.333,0.4,1.667,R64,3,1,0.4
Hard,6-0 6-1,0.107,0,14,0.571,0.5,0.357,3,0,0,R64,3,1,1
Hard,6-4 6-2,0.175,0.053,28.5,0.614,0.509,0.193,4.5,1,0.5,R64,3,1,1
Hard,6-4 7-6(6),0.254,0.028,35.5,0.662,0.549,0.169,5.5,1,2,R64,3,1,1
Hard,6-2 6-3,0.074,0.019,27,0.611,0.5,0.222,4.5,1,1,R64,3,1,1
Hard,7-6(5) 7-6(2),0.101,0.029,34.5,0.58,0.551,0.203,6,0,0.5,R64,3,1,1
Hard,4-6 6-3 7-6(4),0.153,0.02,32.667,0.663,0.49,0.163,5.333,0.571,2.333,R64,3,1,0.571
Hard,6-3 1-6 7-6(5),0.057,0.034,29.333,0.625,0.409,0.261,4.667,0.571,2.333,R64,3,1,0.571
Hard,2-6 6-4 6-4,0.065,0.043,31,0.591,0.409,0.183,4.667,0.5,2,R64,3,1,0.5
Hard,6-3 6-2,0.283,0.022,23,0.63,0.5,0.261,4,1,2.5,R64,3,1,1
Hard,7-6(2) 6-3,0.051,0.085,29.5,0.525,0.441,0.271,5.5,0,1,R64,3,1,1
Hard,6-3 7-5,0.415,0.038,26.5,0.679,0.642,0.189,5.5,0,0,R64,3,1,1
Hard,6-7(5) 6-2 6-2,0.163,0.035,28.667,0.57,0.43,0.291,4.667,0.5,0.667,R64,3,1,0.5
Hard,6-2 4-6 6-4,0.022,0.034,29.667,0.618,0.438,0.213,4.667,0.778,3,R64,3,1,0.778
Hard,4-6 6-4 7-5,0.067,0.011,30,0.767,0.567,0.156,5.333,0.8,1.667,R64,3,1,0.8
Hard,6-2 6-1,0.082,0,24.5,0.735,0.429,0.245,4,0,0.5,R32,3,1,1
Hard,6-7(4) 7-6(6) 6-3,0.136,0.025,39.333,0.593,0.492,0.229,5.667,0.9,3.333,R32,3,1,0.9
Hard,6-4 3-6 6-4,0.014,0,23.667,0.62,0.465,0.254,4.667,0,0.667,R32,3,1,1
Hard,6-4 6-2,0.133,0,30,0.6,0.45,0.217,4.5,0.889,4.5,R32,3,1,0.889
Hard,6-2 6-4,0.071,0.089,28,0.571,0.482,0.196,4.5,0.667,1.5,R32,3,1,0.667
Hard,6-3 7-6(5),0.313,0,33.5,0.701,0.522,0.224,5.5,0,0,R32,3,1,1
Hard,6-7(0) 6-4 6-2,0.017,0.025,40.333,0.628,0.397,0.207,5,0.833,4,R32,3,1,0.833
Hard,7-6(3) 4-6 6-4,0.112,0.009,38.667,0.56,0.414,0.207,5.333,0.786,4.667,R32,3,1,0.786
Hard,7-5 6-7(4) 7-6(4),0.036,0.018,36.667,0.673,0.527,0.218,6,0.75,1.333,R32,3,1,0.75
Hard,6-4 6-7(3) 7-6(5),0.162,0.034,39,0.598,0.479,0.188,5.667,0.857,2.333,R32,3,1,0.857
Hard,6-1 6-2,0.176,0,17,0.706,0.588,0.235,3.5,0,0,R32,3,1,1
Hard,7-6(3) 6-3,0.061,0.049,41,0.598,0.439,0.22,5.5,0.667,1.5,R32,3,1,0.667
Hard,1-6 6-4 6-4,0.072,0.072,23,0.609,0.507,0.188,4.333,0,0.667,R32,3,1,1
Hard,6-3 7-6(1),0.221,0.015,34,0.662,0.559,0.206,5.5,1,0.5,R32,3,1,1
Hard,6-3 6-2,0.225,0.05,20,0.7,0.625,0.2,4.5,0,0.5,R32,3,1,1
Hard,7-6(4) 2-6 6-3,0.052,0.026,38.667,0.75,0.517,0.129,5,0.667,2,R32,3,1,0.667
Hard,6-2 6-3,0.113,0,26.5,0.585,0.453,0.283,4.5,1,1.5,R16,3,1,1
Hard,6-3 6-7(1) 6-4,0.183,0,34.667,0.625,0.49,0.212,5.333,1,0.667,R16,3,1,1
Hard,6-7(4) 6-4 6-4,0.087,0.029,34.333,0.612,0.485,0.233,5.333,1,2.333,R16,3,1,1
Hard,6-3 6-3,0.048,0.016,31,0.645,0.5,0.145,4.5,0.667,1.5,R16,3,1,0.667
Hard,6-3 7-6(3),0.062,0.031,32.5,0.738,0.585,0.185,5.5,1,0.5,R16,3,1,1
Hard,7-5 6-7(7) 6-4,0.056,0.008,42,0.508,0.365,0.262,5.667,0.818,3.667,R16,3,1,0.818
Hard,7-6(10) 7-6(3),0.074,0.037,40.5,0.58,0.432,0.284,6,0,0.5,R16,3,1,1
Hard,6-7(5) 7-5 6-4,0.16,0.011,31.333,0.638,0.532,0.223,5.667,0.5,0.667,R16,3,1,0.5
Hard,7-6(6) 6-1,0.175,0.018,28.5,0.667,0.526,0.175,4.5,0.5,1,QF,3,1,0.5
Hard,6-1 6-3,0.16,0.02,25,0.64,0.56,0.16,4,1,1.5,QF,3,1,1
Hard,6-2 6-1,0.019,0.038,26.5,0.736,0.566,0.113,4,1,0.5,QF,3,1,1
Hard,7-6(6) 5-7 6-4,0.143,0.029,35,0.619,0.495,0.21,5.667,0.75,1.333,QF,3,1,0.75
Hard,6-1 6-3,0.132,0,19,0.737,0.605,0.158,4,0.5,1,SF,3,1,0.5
Hard,6-4 0-6 7-5,0.122,0.033,30,0.656,0.5,0.133,4.667,0.727,3.667,SF,3,1,0.727
Hard,6-2 6-4,0.049,0,20.5,0.707,0.61,0.22,4.5,0,0.5,F,3,1,1
Hard,6-4 6-4,0.029,0.074,34,0.426,0.309,0.324,5,0.333,1.5,R64,3,1,0.333
Hard,2-6 7-6(7) 6-4,0.077,0.058,34.667,0.538,0.404,0.202,5,0.5,2.667,R64,3,1,0.5
Hard,4-6 6-3 6-2,0.034,0,29.667,0.584,0.438,0.258,4.667,0.857,2.333,R64,3,1,0.857
Hard,4-6 7-6(1) 7-6(5),0.045,0.034,29.667,0.629,0.494,0.247,5.667,0.25,1.333,R64,3,1,0.25
Hard,6-3 6-2,0.125,0.021,24,0.688,0.521,0.188,4.5,0.5,1,R64,3,1,0.5
Hard,6-2 6-3,0.074,0.019,27,0.759,0.519,0.148,4.5,0.5,1,R64,3,1,0.5
Hard,6-2 5-7 6-2,0.046,0.011,29,0.563,0.46,0.253,4.667,0.833,2,R64,3,1,0.833
Hard,6-2 2-6 6-3,0.083,0.056,24,0.556,0.389,0.236,4.333,0.333,2,R64,3,1,0.333
Hard,6-3 7-6(6),0.15,0.033,30,0.583,0.483,0.2,5,0.5,1,R64,3,1,0.5
Hard,6-4 6-1,0.122,0.02,24.5,0.612,0.49,0.184,4,0,0,R64,3,1,1
Hard,7-5 7-6(4),0.171,0.029,35,0.629,0.557,0.229,6,1,0.5,R64,3,1,1
Hard,7-5 6-3,0.129,0,31,0.581,0.452,0.242,5,1,1,R64,3,1,1
Hard,3-6 6-3 6-2,0.153,0.014,24,0.611,0.444,0.264,4.333,0.667,2,R64,3,1,0.667
Hard,6-4 6-3,0.091,0.036,27.5,0.709,0.545,0.164,4.5,1,0.5,R64,3,1,1
Hard,7-5 6-3,0.119,0,29.5,0.576,0.407,0.254,5,0.6,2.5,R64,3,1,0.6
Hard,6-4 6-4,0.115,0.038,26,0.577,0.558,0.192,5,0.75,2,R64,3,1,0.75
Hard,7-5 6-3,0.03,0.015,33,0.591,0.455,0.242,5.5,0.5,1,R32,3,1,0.5
Hard,6-4 4-6 6-1,0,0.013,25,0.653,0.48,0.187,4.667,0,1,R32,3,1,1
Hard,6-2 6-2,0.186,0.023,21.5,0.488,0.372,0.419,4,1,1.5,R32,3,1,1
Hard,6-3 4-6 7-5,0.075,0.057,35.333,0.472,0.33,0.255,5.333,0.556,3,R32,3,1,0.556
Hard,6-3 7-6(6),0.163,0.013,40,0.463,0.4,0.288,5.5,1,2.5,R32,3,1,1
Hard,6-7(7) 7-5 6-4,0.089,0.008,41.333,0.629,0.411,0.177,5.667,0.714,4.667,R32,3,1,0.714
Hard,6-7(3) 7-6(4) 7-6(5),0.252,0.059,39.667,0.613,0.521,0.227,6,0.833,2,R32,3,1,0.833
Hard,6-2 6-2,0.103,0.026,19.5,0.641,0.59,0.256,4,1,0.5,R32,3,1,1
Hard,6-2 6-2,0.045,0.023,22,0.636,0.455,0.295,4,0,0,R32,3,1,1
Hard,7-6(3) 7-6(2),0.125,0.054,56,0.58,0.473,0.179,6,1,5,R32,3,1,1
Hard,6-3 7-6(3),0.368,0.018,28.5,0.684,0.596,0.263,5.5,0,0,R32,3,1,1
Hard,6-1 6-1,0.1,0.025,20,0.65,0.5,0.275,3.5,1,2,R32,3,1,1
Hard,7-6(4) 6-7(6) 6-1,0.049,0.01,34,0.578,0.451,0.255,5,0.667,1,R32,3,1,0.667
Hard,6-2 7-5,0.063,0,24,0.646,0.563,0.292,5,0,0,R32,3,1,1
Hard,6-2 6-2,0.093,0.023,21.5,0.698,0.581,0.116,4,0,0.5,R32,3,1,1
Hard,6-1 6-2,0.105,0,19,0.579,0.526,0.316,4,0,0,R32,3,1,1
Hard,6-3 7-5,0.029,0.044,34,0.588,0.382,0.162,5.5,0.5,5,R16,3,1,0.5
Hard,6-3 6-4,0.038,0.038,26,0.577,0.5,0.269,5,0,0.5,R16,3,1,1
Hard,6-4 7-5,0.079,0.039,38,0.5,0.342,0.289,5.5,0.714,3.5,R16,3,1,0.714
Hard,4-6 7-6(6) 6-2,0.063,0.031,32,0.698,0.573,0.167,5,0.875,2.667,R16,3,1,0.875
Hard,6-7(4) 6-1 6-4,0.023,0.011,29.333,0.614,0.42,0.284,4.667,0.889,3,R16,3,1,0.889
Hard,7-6(3) 3-6 7-6(5),0.257,0,35,0.676,0.552,0.181,5.333,0.833,2,R16,3,1,0.833
Hard,6-1 6-0,0.216,0.054,18.5,0.541,0.486,0.297,3.5,1,0.5,R16,3,1,1
Hard,7-6(3) 7-6(8),0.072,0.024,41.5,0.771,0.614,0.12,6,1,0.5,QF,3,1,1
Hard,7-6(8) 7-6(7),0.122,0.011,45,0.6,0.489,0.2,6,0.75,4,QF,3,1,0.75
Hard,6-3 6-7(6) 6-2,0.034,0.034,29,0.678,0.54,0.195,4.667,0.75,1.333,QF,3,1,0.75
Hard,7-6(7) 3-6 6-3,0.047,0.028,35.333,0.538,0.368,0.264,5,0.625,2.667,QF,3,1,0.625
Hard,6-3 3-6 6-0,0.052,0,25.667,0.688,0.506,0.156,4,0.714,2.333,SF,3,1,0.714
Hard,6-4 6-3,0.079,0,31.5,0.603,0.365,0.222,4.5,0.75,4,SF,3,1,0.75
Hard,6-2 6-4,0.042,0,24,0.625,0.417,0.271,4.5,0,0.5,F,3,1,1
Clay,7-5 6-4,0.058,0.043,34.5,0.58,0.435,0.246,5.5,0.5,1,R64,3,1,0.5
Clay,6-4 3-6 6-3,0.01,0.02,33.333,0.75,0.49,0.14,4.667,0.778,3,R64,3,1,0.778
Clay,5-7 7-5 6-2,0.045,0.027,36.667,0.655,0.473,0.164,5.333,0.778,3,R64,3,1,0.778
